request_id,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
request_26,15656000,affordable_now,full_payment,2025-08-03:15656000,2025-08-03,none,Pay 15656000 IDR in full today. The selected plan keeps the forecast above the 24768300 IDR minimum.
request_27,6670,affordable_now,full_payment,2026-07-05:6670,2026-07-05,none,Pay 6670 ZAR in full today. The selected plan keeps the forecast above the 20500 ZAR minimum.
request_28,0,not_affordable,not_recommended,none,,none,Do not proceed by the requested deadline. The forecast cannot safely complete 1302.4 EUR while maintaining the 1100 EUR minimum.
request_29,9486.19,not_affordable,not_recommended,none,,none,Do not proceed by the requested deadline. The forecast cannot safely complete 51524 ZAR while maintaining the 28300 ZAR minimum.
request_30,775.2,affordable_with_plan,installments,2026-04-06:268.74|2026-05-06:268.74|2026-06-05:268.74,2026-04-06,none,Use 3 supplied installments of 268.74 USD. The selected plan keeps the forecast above the 900 USD minimum.
request_31,1696704.54,affordable_later,wait,2024-11-15:18164000,2024-11-15,none,"Wait until 2024-11-15, then pay in full. The selected plan keeps the forecast above the 16588900 IDR minimum."
request_32,5090.33,not_affordable,not_recommended,none,,none,Do not proceed by the requested deadline. The forecast cannot safely complete 40018 ZAR while maintaining the 35700 ZAR minimum.
request_33,26912.04,affordable_later,wait,2026-03-15:118000,2026-03-15,none,"Wait until 2026-03-15, then pay in full. The selected plan keeps the forecast above the 102100 INR minimum."
request_34,129400,affordable_now,full_payment,2024-12-04:129400,2024-12-04,none,Pay 129400 INR in full today. The selected plan keeps the forecast above the 138500 INR minimum.
request_35,18794.53,affordable_later,wait,2026-01-15:212000,2026-01-15,none,"Wait until 2026-01-15, then pay in full. The selected plan keeps the forecast above the 106400 INR minimum."
request_36,518.62,not_affordable,not_recommended,none,,none,Do not proceed by the requested deadline. The forecast cannot safely complete 3954 USD while maintaining the 2400 USD minimum.
request_37,0,not_affordable,not_recommended,none,,none,Do not proceed by the requested deadline. The forecast cannot safely complete 14649000 IDR while maintaining the 17056200 IDR minimum.
request_38,202.57,affordable_later,wait,2025-10-15:971.3,2025-10-15,none,"Wait until 2025-10-15, then pay in full. The selected plan keeps the forecast above the 400 EUR minimum."
request_39,47121.66,affordable_later,wait,2026-06-15:208600,2026-06-15,none,"Wait until 2026-06-15, then pay in full. The selected plan keeps the forecast above the 213400 INR minimum."
request_40,194.88,not_affordable,not_recommended,none,,none,Do not proceed by the requested deadline. The forecast cannot safely complete 1290.3 EUR while maintaining the 1500 EUR minimum.
request_41,7537666.42,affordable_later,wait,2026-01-15:38760000,2026-01-15,none,"Wait until 2026-01-15, then pay in full. The selected plan keeps the forecast above the 25366600 IDR minimum."
request_42,52100,affordable_now,full_payment,2026-01-05:52100,2026-01-05,none,Pay 52100 INR in full today. The selected plan keeps the forecast above the 113100 INR minimum.
request_43,7942206.38,affordable_later,wait,2024-11-15:43339000,2024-11-15,none,"Wait until 2024-11-15, then pay in full. The selected plan keeps the forecast above the 21398000 IDR minimum."
request_44,25186.45,not_affordable,not_recommended,none,,none,Do not proceed by the requested deadline. The forecast cannot safely complete 95800 INR while maintaining the 82900 INR minimum.
request_45,2929647.63,not_affordable,not_recommended,none,,none,Do not proceed by the requested deadline. The forecast cannot safely complete 21983000 IDR while maintaining the 11149800 IDR minimum.
